fighter_url,fight_url,referee,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl
http://ufcstats.com/fighter-details/881bf86d4cba8578,http://ufcstats.com/fight-details/5bcd8abf6da01dae,Marc Goddard,0,81 of 162,50%,89 of 170,0 of 0,---,0,0,0:29
http://ufcstats.com/fighter-details/4126a78111c0855a,http://ufcstats.com/fight-details/5bcd8abf6da01dae,Marc Goddard,0,66 of 166,39%,89 of 190,0 of 5,0%,0,0,1:20
http://ufcstats.com/fighter-details/c2299ec916bc7c56,http://ufcstats.com/fight-details/d14fea43712707f0,Herb Dean,0,17 of 38,44%,37 of 61,3 of 10,30%,1,0,4:38
http://ufcstats.com/fighter-details/9c393e836a852f30,http://ufcstats.com/fight-details/d14fea43712707f0,Herb Dean,0,5 of 17,29%,6 of 18,0 of 0,---,0,0,0:34
http://ufcstats.com/fighter-details/476fe566d2df676e,http://ufcstats.com/fight-details/0149e875b31e57f8,Marc Goddard,0,22 of 36,61%,29 of 44,0 of 0,---,0,0,1:50
http://ufcstats.com/fighter-details/eabf206b162b3b83,http://ufcstats.com/fight-details/0149e875b31e57f8,Marc Goddard,0,6 of 14,42%,30 of 39,0 of 2,0%,0,0,0:45
http://ufcstats.com/fighter-details/4bdedbdeedff7d1d,http://ufcstats.com/fight-details/69b31593175f77ec,Rich Mitchell,1,38 of 99,38%,40 of 101,0 of 1,0%,0,0,0:21
http://ufcstats.com/fighter-details/f6ad6a1e4d600e0d,http://ufcstats.com/fight-details/69b31593175f77ec,Rich Mitchell,1,57 of 136,41%,67 of 147,2 of 2,100%,1,0,3:41
http://ufcstats.com/fighter-details/1d2d98ddd05b38fb,http://ufcstats.com/fight-details/a47123ae6e048f11,Herb Dean,1,45 of 105,42%,52 of 114,1 of 4,25%,0,0,3:05
http://ufcstats.com/fighter-details/f748267c4ab6c127,http://ufcstats.com/fight-details/a47123ae6e048f11,Herb Dean,0,33 of 135,24%,48 of 156,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/e1d40e8782d80bc2,http://ufcstats.com/fight-details/b53031bf4bd0a330,Lukasz Bosacki,0,49 of 114,42%,66 of 132,2 of 2,100%,0,0,0:57
http://ufcstats.com/fighter-details/92aed9d16794f42b,http://ufcstats.com/fight-details/b53031bf4bd0a330,Lukasz Bosacki,0,34 of 96,35%,54 of 116,2 of 6,33%,0,0,4:36
http://ufcstats.com/fighter-details/46e2011d92463b7e,http://ufcstats.com/fight-details/4080b4310d82b42d,Patricio Carlos,0,17 of 43,39%,21 of 49,2 of 4,50%,0,0,3:28
http://ufcstats.com/fighter-details/49edd0d90f60fb7d,http://ufcstats.com/fight-details/4080b4310d82b42d,Patricio Carlos,0,5 of 14,35%,11 of 22,0 of 0,---,0,0,0:03
http://ufcstats.com/fighter-details/c9cf753cfdf77fc2,http://ufcstats.com/fight-details/23dbe713c4294c66,Marc Goddard,0,4 of 9,44%,8 of 15,0 of 0,---,0,0,1:18
http://ufcstats.com/fighter-details/7d8435c56043b0ae,http://ufcstats.com/fight-details/23dbe713c4294c66,Marc Goddard,1,13 of 28,46%,15 of 30,0 of 0,---,0,0,0:08
http://ufcstats.com/fighter-details/2dbc60c52de126d8,http://ufcstats.com/fight-details/5cd2dd6075fadcce,Herb Dean,0,8 of 23,34%,8 of 23,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/ec13c393d029297d,http://ufcstats.com/fight-details/5cd2dd6075fadcce,Herb Dean,1,24 of 40,60%,24 of 40,0 of 0,---,0,0,0:13
http://ufcstats.com/fighter-details/8b6e5dc2ba1edbe7,http://ufcstats.com/fight-details/420211200a35c1d1,Rich Mitchell,0,25 of 48,52%,25 of 48,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/31dbfbe4e7a6727c,http://ufcstats.com/fight-details/420211200a35c1d1,Rich Mitchell,0,18 of 38,47%,18 of 38,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/0c6d9ea8306c029e,http://ufcstats.com/fight-details/b3253e2c2d111030,Lukasz Bosacki,0,42 of 102,41%,50 of 111,1 of 3,33%,0,0,1:22
http://ufcstats.com/fighter-details/f96856f9d69fd7e4,http://ufcstats.com/fight-details/b3253e2c2d111030,Lukasz Bosacki,1,68 of 138,49%,77 of 149,1 of 1,100%,0,0,1:22
http://ufcstats.com/fighter-details/2caf993f53541fa1,http://ufcstats.com/fight-details/d56a59a4c79cf515,Patricio Carlos,0,5 of 19,26%,5 of 19,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/8f765fd5775a8873,http://ufcstats.com/fight-details/d56a59a4c79cf515,Patricio Carlos,0,23 of 42,54%,23 of 42,0 of 0,---,0,0,0:04
http://ufcstats.com/fighter-details/9c442aaf149ea982,http://ufcstats.com/fight-details/a38010639e61885c,Lukasz Bosacki,0,13 of 38,34%,42 of 68,0 of 1,0%,0,0,0:00
http://ufcstats.com/fighter-details/e94085e821bd81de,http://ufcstats.com/fight-details/a38010639e61885c,Lukasz Bosacki,0,21 of 46,45%,55 of 84,2 of 3,66%,1,0,5:29
http://ufcstats.com/fighter-details/c21f26bbde777573,http://ufcstats.com/fight-details/2eecf0c36192e40c,Marc Goddard,1,50 of 67,74%,51 of 70,0 of 2,0%,0,0,1:20
http://ufcstats.com/fighter-details/8a65fd9ba31fd3f7,http://ufcstats.com/fight-details/2eecf0c36192e40c,Marc Goddard,0,20 of 47,42%,28 of 59,0 of 0,---,0,0,1:21
http://ufcstats.com/fighter-details/def8166ff24bd237,http://ufcstats.com/fight-details/58080e8989927500,Herb Dean,0,55 of 174,31%,100 of 225,0 of 2,0%,0,0,0:08
http://ufcstats.com/fighter-details/cb696ebfb6598724,http://ufcstats.com/fight-details/58080e8989927500,Herb Dean,0,124 of 227,54%,153 of 262,3 of 6,50%,0,0,3:55
http://ufcstats.com/fighter-details/f14cf73e51b29254,http://ufcstats.com/fight-details/5538d15c4eeac3b3,Marc Goddard,0,61 of 133,45%,63 of 136,0 of 3,0%,0,0,0:08
http://ufcstats.com/fighter-details/fc08099550072fe4,http://ufcstats.com/fight-details/5538d15c4eeac3b3,Marc Goddard,0,45 of 117,38%,45 of 117,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/3cf18e01cb6cbde3,http://ufcstats.com/fight-details/ce6bd165bef82bd7,Vitor Ribeiro,0,73 of 129,56%,91 of 150,0 of 5,0%,0,0,0:17
http://ufcstats.com/fighter-details/34b96d52db1d26e6,http://ufcstats.com/fight-details/ce6bd165bef82bd7,Vitor Ribeiro,0,16 of 44,36%,23 of 51,0 of 5,0%,0,0,3:29
http://ufcstats.com/fighter-details/7498b3ac79a3b948,http://ufcstats.com/fight-details/1452c20d964c0a63,Marc Goddard,0,27 of 38,71%,31 of 42,1 of 3,33%,0,0,3:11
http://ufcstats.com/fighter-details/4729c93ba705a3bf,http://ufcstats.com/fight-details/1452c20d964c0a63,Marc Goddard,0,2 of 3,66%,11 of 12,0 of 1,0%,0,0,0:08
http://ufcstats.com/fighter-details/8c1ca54b5089d199,http://ufcstats.com/fight-details/0b1460c666e66d39,Herb Dean,0,66 of 150,44%,79 of 166,0 of 7,0%,0,0,0:12
http://ufcstats.com/fighter-details/b2a78df161bd67f9,http://ufcstats.com/fight-details/0b1460c666e66d39,Herb Dean,0,112 of 200,56%,131 of 221,3 of 6,50%,0,0,3:51
http://ufcstats.com/fighter-details/814e5233e2acf2ee,http://ufcstats.com/fight-details/1ab1ed99a4bc5494,Jim Perdios,1,44 of 81,54%,52 of 89,1 of 5,20%,0,0,0:32
http://ufcstats.com/fighter-details/bb2c3c3a466224af,http://ufcstats.com/fight-details/1ab1ed99a4bc5494,Jim Perdios,0,59 of 120,49%,60 of 121,1 of 2,50%,1,1,0:59
http://ufcstats.com/fighter-details/a13d755965a4ec9f,http://ufcstats.com/fight-details/f55749e32ce5c6f3,Vitor Ribeiro,0,101 of 197,51%,104 of 201,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/d2cd7a69cc55e7ed,http://ufcstats.com/fight-details/f55749e32ce5c6f3,Vitor Ribeiro,0,75 of 226,33%,77 of 228,2 of 12,16%,0,0,1:02
http://ufcstats.com/fighter-details/595db60957de51d3,http://ufcstats.com/fight-details/130e622d4d2aee3e,Marc Goddard,0,2 of 4,50%,2 of 4,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/d6c0cdd7e467c440,http://ufcstats.com/fight-details/130e622d4d2aee3e,Marc Goddard,1,5 of 8,62%,7 of 12,0 of 0,---,0,0,0:07
http://ufcstats.com/fighter-details/3f11fd1751fa83b1,http://ufcstats.com/fight-details/f0b7caa90faf47e5,Herb Dean,2,13 of 18,72%,17 of 23,0 of 0,---,0,0,0:06
http://ufcstats.com/fighter-details/7b3503352cd53abb,http://ufcstats.com/fight-details/f0b7caa90faf47e5,Herb Dean,0,0 of 2,0%,0 of 2,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/86bace9e4ad85542,http://ufcstats.com/fight-details/2f6065fe0804d1d8,Jim Perdios,0,68 of 214,31%,81 of 229,0 of 0,---,0,0,0:20
http://ufcstats.com/fighter-details/a474aade8eb3a8f0,http://ufcstats.com/fight-details/2f6065fe0804d1d8,Jim Perdios,0,58 of 110,52%,66 of 120,0 of 6,0%,0,0,0:07
http://ufcstats.com/fighter-details/02f484417a6fa69d,http://ufcstats.com/fight-details/7fc5f1dc2df84ac7,Vitor Ribeiro,1,2 of 9,22%,3 of 10,0 of 0,---,2,1,1:10
http://ufcstats.com/fighter-details/709fadb644ee3f51,http://ufcstats.com/fight-details/7fc5f1dc2df84ac7,Vitor Ribeiro,0,7 of 11,63%,13 of 19,1 of 1,100%,0,0,0:18
